Data,Hora,Latitude,Longitude
14/04/2023,17:30:42,-22.977997,-43.231813
14/04/2023,17:30:52,-22.978002,-43.231813
14/04/2023,17:31:02,-22.978,-43.231816
14/04/2023,17:31:12,-22.977999,-43.231815
14/04/2023,17:31:22,-22.978003,-43.231815
14/04/2023,17:31:32,-22.977994,-43.231811
14/04/2023,17:31:42,-22.977992,-43.231818
14/04/2023,17:31:52,-22.978007,-43.231822
14/04/2023,17:32:02,-22.978002,-43.231818
14/04/2023,17:32:12,-22.978005,-43.231819
14/04/2023,17:32:22,-22.978003,-43.231817
14/04/2023,17:32:32,-22.977996,-43.231818
14/04/2023,17:32:42,-22.977992,-43.231826
14/04/2023,17:32:52,-22.978003,-43.231813
14/04/2023,17:33:02,-22.977999,-43.231811
14/04/2023,17:33:12,-22.977993,-43.231808
14/04/2023,17:33:22,-22.977995,-43.231808
14/04/2023,17:33:32,-22.977988,-43.231805
14/04/2023,17:33:42,-22.977984,-43.231816
14/04/2023,17:33:52,-22.977992,-43.231807
14/04/2023,17:34:02,-22.977999,-43.231813
14/04/2023,17:34:12,-22.978007,-43.231821
14/04/2023,17:34:22,-22.977996,-43.231856
14/04/2023,17:34:32,-22.977996,-43.231798
14/04/2023,17:34:42,-22.977982,-43.231808
14/04/2023,17:34:52,-22.977982,-43.231808
14/04/2023,17:35:02,-22.978006,-43.231819
14/04/2023,17:35:12,-22.977996,-43.231814
14/04/2023,17:35:22,-22.977988,-43.23181
14/04/2023,17:35:32,-22.977993,-43.231804
14/04/2023,17:35:43,-22.977995,-43.231817
14/04/2023,17:35:53,-22.977979,-43.231805
14/04/2023,17:36:03,-22.977982,-43.231799
14/04/2023,17:36:13,-22.978006,-43.231806
14/04/2023,17:36:23,-22.977991,-43.231806
14/04/2023,17:36:33,-22.977997,-43.231811
14/04/2023,17:36:43,-22.977981,-43.231803
14/04/2023,17:36:53,-22.977978,-43.231819
14/04/2023,17:37:03,-22.977965,-43.231807
14/04/2023,17:37:13,-22.977987,-43.231817
14/04/2023,17:37:23,-22.978001,-43.231821
14/04/2023,17:37:33,-22.977997,-43.231803
14/04/2023,17:37:43,-22.977976,-43.231809
14/04/2023,17:37:53,-22.977972,-43.231809
14/04/2023,17:38:03,-22.977997,-43.231811
14/04/2023,17:38:13,-22.977992,-43.231828
14/04/2023,17:38:23,-22.977999,-43.231807
14/04/2023,17:38:33,-22.978001,-43.231806
14/04/2023,17:38:43,-22.977967,-43.23181
14/04/2023,17:38:53,-22.977993,-43.231805
14/04/2023,17:39:03,-22.97798,-43.231811
14/04/2023,17:39:13,-22.977986,-43.2318
14/04/2023,17:39:23,-22.977995,-43.231808
14/04/2023,17:39:33,-22.978001,-43.231811
14/04/2023,17:39:43,-22.977993,-43.231806
14/04/2023,17:39:53,-22.977978,-43.231806
14/04/2023,17:40:03,-22.977999,-43.231815
14/04/2023,17:40:13,-22.977993,-43.231813
14/04/2023,17:40:23,-22.977992,-43.231807
14/04/2023,17:40:33,-22.978001,-43.23181
14/04/2023,17:40:43,-22.978008,-43.231816
14/04/2023,17:40:53,-22.977963,-43.231784
14/04/2023,17:41:03,-22.977966,-43.231814
14/04/2023,17:41:13,-22.978016,-43.23182
14/04/2023,17:41:24,-22.977984,-43.231808
14/04/2023,17:41:34,-22.978004,-43.231804
14/04/2023,17:41:44,-22.977976,-43.231811
14/04/2023,17:41:54,-22.977978,-43.231797
14/04/2023,17:42:04,-22.977992,-43.231816
14/04/2023,17:42:14,-22.977993,-43.231814
14/04/2023,17:42:24,-22.977999,-43.231816
14/04/2023,17:42:34,-22.977992,-43.231818
14/04/2023,17:42:44,-22.977987,-43.23181
14/04/2023,17:42:54,-22.977975,-43.23182
14/04/2023,17:43:04,-22.978,-43.231808
14/04/2023,17:43:14,-22.977961,-43.231794
14/04/2023,17:43:24,-22.977994,-43.231806
14/04/2023,17:43:34,-22.977993,-43.231807
